Price	Close	High	Low	Open	Volume
Ticker	AAPL	AAPL	AAPL	AAPL	AAPL
Date					
1996-03-11	0.1938234121	0.1975685366	0.191014553	0.1966322586	517585600
1996-03-18	0.1900782287	0.1985047787	0.1863322425	0.1942914975	567033600
1996-03-25	0.1839915365	0.192887069	0.1722871457	0.191014501	1216880000
1996-04-01	0.1807145774	0.1938233934	0.179778287	0.1882048383	418364800
1996-04-08	0.1910145432	0.1985048169	0.1779057266	0.1788420171	758374400
1996-04-15	0.1877367049	0.1947596707	0.1816508547	0.191014534	659948800
1996-04-22	0.1853960454	0.1910145897	0.1807146295	0.1891411832	772676800
1996-04-29	0.1788419932	0.1872685437	0.1760322971	0.1872685437	667184000
1996-05-06	0.204123348	0.2050596384	0.1853959896	0.1863322675	1038486400
1996-05-13	0.2069321871	0.2162958654	0.1994410644	0.2031870508	930384000
1996-05-20	0.2003773451	0.2106773132	0.1928870729	0.2088047452	638075200
1996-05-27	0.1956959665	0.2041233556	0.1853959965	0.2003773812	587484800
1996-06-03	0.182587117	0.1947596406	0.1760322849	0.1938233628	2027670400
1996-06-10	0.1793101281	0.1866837865	0.1788419954	0.1825871318	747723200
1996-06-17	0.1694783121	0.1807145586	0.167605744	0.1807145586	779564800
1996-06-24	0.1573058069	0.1694783461	0.1470058362	0.1694783461	1118980800
1996-07-01	0.146069482	0.1610508599	0.1441969144	0.1582420023	615753600
1996-07-08	0.1353014112	0.1488783568	0.1292155623	0.1470057889	1106268800
1996-07-15	0.1554331779	0.1629234491	0.1198518771	0.1357695347	1819070400
1996-07-22	0.1647968888	0.1647968888	0.1488783778	0.1563695007	784515200
1996-07-29	0.1619872004	0.1704146015	0.1582420638	0.1647968966	715993600
1996-08-05	0.1732234657	0.1750960341	0.1554332339	0.1619872173	775364800
1996-08-12	0.1685419977	0.176969397	0.1657331521	0.175095979	576094400
1996-08-19	0.1788419932	0.179778271	0.1676057466	0.1676057466	842564800
1996-08-26	0.1816508174	0.1872685212	0.1760322759	0.1788419717	755238400
1996-09-02	0.1722871661	0.184459691	0.16947832	0.180714567	690166400
1996-09-09	0.1573058069	0.1704146241	0.1516881013	0.1694783461	878684800
1996-09-16	0.1713509262	0.1807146202	0.1601146759	0.1610509665	1075804800
1996-09-23	0.167137593	0.1713508618	0.1647968798	0.1713508618	483448000
1996-09-30	0.1708827019	0.1853959366	0.1647968535	0.1657331436	1262688000
1996-10-07	0.1816508174	0.1844596631	0.1713508498	0.1722871401	768745600
1996-10-14	0.1989729255	0.2078684584	0.1816508301	0.1835233982	2376774400
1996-10-21	0.1835234016	0.1994410619	0.1816508335	0.1985047841	723318400
1996-10-28	0.1816508174	0.188204799	0.1666694362	0.188204799	982228800
1996-11-04	0.1966322064	0.1966322064	0.1779056886	0.1825871149	993473600
1996-11-11	0.1872685552	0.1975685121	0.1872685552	0.1975685121	498344000
1996-11-18	0.1891410649	0.1900781926	0.1825870842	0.1872684972	554948800
1996-11-25	0.1807145774	0.1910145347	0.179778287	0.1900782567	323265600
1996-12-02	0.1882048398	0.1910145362	0.1788420106	0.1807145789	1012860800
1996-12-09	0.1741597354	0.190078247	0.1741597354	0.189141119	682393600
1996-12-16	0.1760323048	0.1769694327	0.1601146307	0.1760323048	1194883200
1996-12-23	0.1732234657	0.1816508676	0.1713508972	0.1797782992	611800000
1996-12-30	0.1629235595	0.1741598115	0.1554332833	0.1732235207	908376000
1997-01-06	0.1367059052	0.1376430335	0.1292156296	0.1320244767	4760268800
1997-01-13	0.1254704148	0.1385792266	0.1245341371	0.1385792266	1991068800
1997-01-20	0.1264067441	0.1310881587	0.1254704537	0.1264067441	1142702400
1997-01-27	0.1245341301	0.1292155429	0.1235970024	0.1282792654	915868800
1997-02-03	0.1184474826	0.1273430162	0.1132979231	0.1264067383	2110012800
1997-02-10	0.1221925542	0.1226606866	0.1161067075	0.1207881194	934830400
1997-02-17	0.1226607487	0.1338969954	0.1198519026	0.124534167	945604800
1997-02-24	0.1217244342	0.1301518324	0.1217244342	0.1217244342	583721600
1997-03-03	0.1235971153	0.1273430916	0.1198519766	0.1235971153	516723200
1997-03-10	0.1240651608	0.1254704211	0.11985188	0.1245341434	604195200
1997-03-17	0.1245341301	0.1310881106	0.1189155771	0.1217244348	981556800
1997-03-24	0.1395155489	0.1441969631	0.1204374988	0.123597038	1429523200
1997-03-31	0.1441969872	0.1470058336	0.1292156017	0.1395155722	2437041600
1997-04-07	0.1367059052	0.1488784344	0.1357696145	0.1479421562	890624000
1997-04-14	0.1376430392	0.1441970244	0.1348333419	0.1376430392	695531200
1997-04-21	0.1310881525	0.1395155534	0.1301518747	0.1395155534	400612800
1997-04-28	0.1273430288	0.1348333025	0.1254704604	0.1329607341	530488000
1997-05-05	0.1278111786	0.1310881703	0.1226607682	0.1273430333	567168000
1997-05-12	0.1292155236	0.1348332257	0.1273429562	0.1292155236	689942400
1997-05-19	0.1264067441	0.1320244366	0.1235970478	0.1310881587	403132800
1997-05-26	0.1245341301	0.1310881106	0.1226607124	0.1254704077	458136000
1997-06-02	0.1254704148	0.1282792726	0.1235970094	0.1273429825	304718400
1997-06-09	0.1184474826	0.126874871	0.1179793374	0.1250023028	530017600
1997-06-16	0.1165748984	0.1235970252	0.1151704755	0.118915599	617120000
1997-06-23	0.1100200936	0.1170430723	0.1095519484	0.1161067818	949267200
1997-06-30	0.1025298536	0.1104882685	0.0973794483	0.1104882685	1058601600
1997-07-07	0.1137660965	0.1161068108	0.0955068776	0.1044024206	1656636800
1997-07-14	0.1299178004	0.1357695717	0.1114253587	0.1142342049	2339444800
1997-07-21	0.1217244342	0.1324925325	0.1170430214	0.131556255	1078996800
1997-07-28	0.1437288374	0.1437288374	0.1217244863	0.1231289095	1301787200
1997-08-04	0.2008455098	0.2214454355	0.1437288221	0.1437288221	10618529600
1997-08-11	0.1741597354	0.1980366526	0.153092502	0.1971003747	4496228800
1997-08-18	0.1769694388	0.1882048362	0.1704146058	0.1746278877	1318217600
1997-08-25	0.1629235595	0.1774376419	0.1610509905	0.176969509	760816000
1997-09-01	0.1662012935	0.1741597105	0.1643287255	0.1647968706	729422400
1997-09-08	0.1652650088	0.173223413	0.1591783224	0.1666694316	931806400
1997-09-15	0.1643287092	0.1685419899	0.1610508811	0.1638605767	581996800
1997-09-22	0.1596464962	0.1727553114	0.1573057828	0.1657331837	1055040000
1997-09-29	0.1657332331	0.1671376566	0.1601146766	0.1624553907	735918400
1997-10-06	0.1699464619	0.1704146071	0.1587102143	0.1662013253	769160000
1997-10-13	0.1507517993	0.1853959804	0.148878381	0.170414597	2313169600
1997-10-20	0.1240651608	0.1512199009	0.1235970157	0.1507517684	1613304000
1997-10-27	0.127577126	0.1385793105	0.1189156558	0.1254704907	1306300800
1997-11-03	0.147942096	0.1498146641	0.1278111541	0.1315562904	2094422400
1997-11-10	0.1381111443	0.1610509503	0.1310881776	0.1573058131	2331347200
1997-11-17	0.1362377256	0.1418562685	0.133897012	0.1413881358	657204800
1997-11-24	0.1329607368	0.1348333052	0.1264067534	0.1315563135	464508800
1997-12-01	0.1184474826	0.134365144	0.1165749143	0.1324925757	1248217600
1997-12-08	0.1058068052	0.1179793432	0.1039342431	0.1165749201	989016000
1997-12-15	0.1025298536	0.1090838449	0.0992528548	0.1058068399	1009478400
1997-12-22	0.0997209325	0.1048704905	0.0969112372	0.1039342067	824017600
1997-12-29	0.1217244342	0.1217244342	0.0955068122	0.0997209301	1745172800
1998-01-05	0.1362377256	0.1498146874	0.1104882377	0.1235970543	5166537600
1998-01-12	0.1409199834	0.1493465346	0.1282793127	0.1306200137	2548145600
1998-01-19	0.146069482	0.1479420495	0.1390473568	0.1427924919	994660800
1998-01-26	0.1371740252	0.1474739835	0.1367058799	0.145601415	784123200
1998-02-02	0.1385792792	0.1399837024	0.1301518898	0.1385792792	1650163200
1998-02-09	0.146069482	0.148878327	0.1376429343	0.1376429343	1540100800
1998-02-16	0.1498146653	0.1568376303	0.146069529	0.146069529	1402419200
1998-02-23	0.1769694388	0.1788420071	0.1498146791	0.1507518071	2761483200
1998-03-02	0.1830552518	0.185395965	0.1619871828	0.1765004323	2893934400
1998-03-09	0.2031870186	0.2041232963	0.1685419945	0.1779056713	3812692800
1998-03-16	0.197568506	0.2041233387	0.193823382	0.2031870608	1465150400
1998-03-23	0.2017817646	0.2097410194	0.1844596698	0.1942914926	1936603200
1998-03-30	0.2027181089	0.208336652	0.2003773951	0.2003773951	1101856000
1998-04-06	0.1919507682	0.2022498848	0.1849277921	0.2022498848	1035798400
1998-04-13	0.2092728764	0.2219135451	0.1872685299	0.1919507938	3603779200
1998-04-20	0.2092728764	0.2209772798	0.2036551723	0.2069321757	1841593600
1998-04-27	0.2097410411	0.2116135968	0.196632226	0.2003773624	1200528000
1998-05-04	0.2279994339	0.2294047071	0.216295891	0.216295891	2711150400
1998-05-11	0.2214454561	0.2368949862	0.2191047425	0.2312772685	1672518400
1998-05-18	0.2088047862	0.2237861711	0.2045915041	0.2200410343	1038419200
1998-05-25	0.1994410604	0.2116135844	0.1919508005	0.2102091615	1197179200
1998-06-01	0.2013136744	0.2069322301	0.1919508443	0.1985048279	923596800
1998-06-08	0.2106773108	0.2172321428	0.200845488	0.2022499109	1035574400
1998-06-15	0.2027181089	0.2139543451	0.2003773951	0.2041233698	711076800
1998-06-22	0.2111454606	0.2158268873	0.2003773591	0.2022499273	942345600
1998-06-29	0.2172321975	0.2251906043	0.2102092062	0.2116136294	909473600
1998-07-06	0.2401719391	0.2518763311	0.2181684283	0.2209772994	2314368000
